Time (EDT),AAPL,AMZN,GOOG,MSFT
2024-06-12 12:01:00,216.3200073,187.3899994,178.1349945,438.5700073
2024-06-12 12:02:00,216.4365997,187.25,178.1100006,438.6099854
2024-06-12 12:03:00,216.4850006,187.2599945,178.0798035,438.5903931
2024-06-12 12:04:00,216.2366943,187.1999054,178,438.6499939
2024-06-12 12:05:00,216.4199982,187.3424988,178.0800018,438.5599976
2024-06-12 12:06:00,216.6020966,187.3150024,178.1900024,438.7069092
2024-06-12 12:07:00,216.8899994,187.3049927,178.2890015,438.875
2024-06-12 12:08:00,217,187.3000031,178.3099976,438.6700134
2024-06-12 12:09:00,217.4700012,187.3000031,178.2299957,438.6650085
2024-06-12 12:10:00,217.3500061,187.2949982,178.1999969,438.6499939
2024-06-12 12:11:00,217.1049957,187.1699982,178.1399994,438.6400146
2024-06-12 12:12:00,216.9841003,187.0650024,178.1199951,438.5700073
2024-06-12 12:13:00,216.982193,186.8699951,178.1000061,438.6350098
2024-06-12 12:14:00,216.8150024,186.8699951,178.0800018,438.5473022
2024-06-12 12:15:00,216.9149933,186.9199982,178.0899963,438.730011
2024-06-12 12:16:00,216.9199066,186.9900055,178.1399994,438.769989
2024-06-12 12:17:00,217.1499939,187.0149994,178.1269989,438.8900146
2024-06-12 12:18:00,216.8699951,186.7899933,178,438.7600098
2024-06-12 12:19:00,216.6600037,186.7901001,177.8995056,438.7349854
2024-06-12 12:20:00,216.4750977,186.9151001,177.9700012,438.6900024
2024-06-12 12:21:00,216.1600037,186.9389038,177.9600067,438.3200073
2024-06-12 12:22:00,215.6999969,186.9398956,177.8399963,438.4200134
2024-06-12 12:23:00,215.6499023,186.8899994,177.8399963,438.4500122
2024-06-12 12:24:00,215.6349945,186.8899994,177.8300018,438.5100098
2024-06-12 12:25:00,215.5299988,186.8950043,177.7975006,438.4400024
2024-06-12 12:26:00,215.3999939,186.8650055,177.8699951,438.4599915
2024-06-12 12:27:00,215.5200043,186.9199982,177.8320007,438.2752075
2024-06-12 12:28:00,215.2799988,186.8800049,177.8450012,438.3299866
2024-06-12 12:29:00,215.3500061,186.8950043,177.8399963,438.3800049
2024-06-12 12:30:00,215.75,186.8800049,177.9100037,438.4599915
2024-06-12 12:31:00,215.9199066,186.9799957,177.875,438.5299988
2024-06-12 12:32:00,215.9550018,187.0554047,177.9550018,438.5400085
2024-06-12 12:33:00,215.8800049,187.0700073,177.9600067,438.3800049
2024-06-12 12:34:00,215.7480011,186.9450073,177.9499969,438.2399902
2024-06-12 12:35:00,215.6006927,186.9349976,177.8999939,438.2200012
2024-06-12 12:36:00,215.4167023,186.8699951,177.8800049,438.0799866
2024-06-12 12:37:00,215.1900024,186.8350067,178.0289001,438.2600098
2024-06-12 12:38:00,214.9499969,186.8399963,178.0077057,438.3099976
2024-06-12 12:39:00,215.1999969,186.8600006,178.0899963,438.3200073
2024-06-12 12:40:00,215.3706055,186.9049988,178.0899963,438.3800049
2024-06-12 12:41:00,215.3800049,186.9640961,177.9900055,438.3599854
2024-06-12 12:42:00,215.3000031,186.9550018,177.9499969,438.3900146
